FC,SC,TC,TC(non-british),TC(Cherbourg),TC(Queenstown),VICTUALLING CREW,DECK CREW,TITANIC BAND,POSTAL CLERKS,ENGINEERING CREW
"*Allen, Miss Elizabeth Walton","Abelson, Mr. Samson ","Abbott, Eugene","*Abelseth, Karen","*Assaf, Marian","Barry, Julia","Abbott, E. Pantryman","* Anderson, J. Able bodied seaman","Brailey, Theodore Pianist","Gwinn, William Postal clerk","Abraham, C. Fireman"
"Allison, Mr. H. J.","*Abelson, Mrs. Hanna ","*Abbott, Rosa","*Abelseth, Olaus","Attala, Malake","Bourke, Catherine","Ahier, P. Saloon steward","* Archer, Ernest Able bodied seaman","Bricoux, Roger Cellist","March, John Starr Postal clerk","Adams, R. Fireman"
"Allison, Mrs. H. J.","Aldworth, Mr. C.","Abbott, Rossmore","*Abramson, August","*Baclini, Latila","Bourke, John","Akerman, J. Assistant pantryman","* Bailey, W. Master at arms","Clarke, J. Fred C. Bass violist","Smith, John Richard Jago Postal clerk","* Allen, E. Trimmer"
"*Maid Allison, Miss L","Andrew, Mr. Edgar ","Abbing, Anthony","Adahl, Mauritz","*Baclini, Maria","*Bradley, Bridget","Akermann, A. Steward","* Boxhall, Joseph Grove Fourth Officer","Hartley, Wallace Henry Bandmaster","Williamson, James Bertram Postal clerk","Allen, H. Fireman"
"*Allison, Master T. ","Andrew, Mr. Frank ",Adams. J.,"*Adolf, Humblin","*Baclini, Eugene","*Buckley, Daniel","Allan, F. Lift attendant","Bradley, F. Able bodied seaman","Hume, John (Jock) Law First violinist","Woody, Oscar S. Postal clerk","Alsopp, Alfred S. Junior Electrician"
 *Nurse,"Angle, Mr. William ","*Aks, Filly","Ahlin, Johanna","*Baclini, Helene","Buckley, Katherine","Allan, R. Bedroom steward","* Brice, W. Able bodied seaman","Krins, George Violist",,"* Avery, J. Trimmer"
"Astor, Colonel J. J.","*Angle, Mrs.","*Aks, Leah","Ahmed, Ali","Badt, Mohamed","Burke, Jeremiak","Allaria, Baptiste Assistant waiter","* Bright, Arthur John Quartermaster","Taylor, Percy, C. Cellist",,"Bailey, G. W. Fireman"
"*Astor, Mrs. J. J ","Ashby, Mr. John","Alexander, William","Alhomaki, Ilmari","*Banoura, Ayout","Burke, Mary","Allen, E. Scullion","* Buley, Edward J. Able bodied seaman",,,"Baines, Rich Greaser"
"*Aubert, Mrs. N. ","Baily, Mr. Percy","Allen, William","Ali, William","Barbara, Catherine","Burns, Mary","Allsop, F. Saloon steward","Church, G. Able bodied seaman",,,"Ball, W. Fireman"
Manservant,"Baimbridge, Mr. Chas. R.","Allum, Owen G.","Anderson, Alfreda","Barbara, Saude","Canavan, Mary","Anderson, W. Bedroom steward","* Clench, Fredrick Able bodied seaman",,,"Bannon, John Greaser"
*Maid,"*Balls, Mrs. Ada E.","*Badman, Emily","*Anderson, Erna","Betros, Tannous","Carr, Ellen","* Andrews, Charles E. Assistant steward","Clench, G. Able bodied seaman",,,"Barlow, C. Fireman"
 *Maid,"Banfield, Mr. Frederick J.",Barton David,"Anderson, Albert","Boulos, Hanna","Car, Jeannie","Ashcroft, A. Clerk","Crouch, F. Able bodied seaman",,,"Barnes, Chas Fireman"
and *Maid,"Bateman, Mr. Robert J.","Beavan, W. T.","Anderson, Anders","Boulos, Sultani","Chartens, David","Ashe, H. G. H. steward","Davis, Stephen J. Able bodied seaman",,,"Barnes, J. Fireman"
"*Barkworth, Mr. A. H. ","*Beane, Mr. Edward","Billiard, A. van","Anderson, Samuel","*Boulos, Nourelain","Cannavan, Pat","Aspelagi, G. Assistant plateman","* Evans, Alfred Frank Lookout",,,"Barrett, F. W. Fireman"
"Baumann, Mr. J.","*Beane, Mrs. Ethel","Billiard, James (child)","Anderson, Sigrid (child)","Boulos, Akar (child)","Colbert, Patrick","Ayling, E. Assistant vegetable cook","Evans, Frank O. Able bodied seaman",,,"* Barrett, Fredrick Leading fireman"
"*Baxter, Mrs. James","Beauchamp, Mr. H. J. ","Billiard, Walter (child)","Anderson, Thor","Banous, Elias","Conlin, Thos. H.","Back, C. Assistant attendant","* Fleet, Fredrick Lookout",,,"Beattie, F. Greaser"
"Baxter, Mr. Quigg","*Becker, Mrs. A. O. ","*Bing, Lee","*Anderson, Carla","Caram, Joseph","Connaghton, Michel","* Baggott, A. Saloon steward","* Foley, Jack Storekeeper",,,"* Beauchamp, George Fireman"
"Beattie, Mr. T.","*Beesley, Mr. Lawrence ","Bowen, David","Anderson, Ingeborg (child)","Caram, Maria","Connors, Pat","Bagley, E. Saloon steward","* Forward, J. Able bodied seaman",,,"Bell, Joseph Chief Engineer"
"*Beckwith, Mr. R. L.","*Bentham, Miss Lilian W. ","Braund, Lewis","Anderson, Ebba (child)","Shabini, Georges","*Conolly, Kate","Bailey, G. Saloon steward","* French, William",,,"Bendell, T. Fireman"
"*Beckwith, Mrs. R. L.","Berriman, Mr. William ","Braund, Owen","Anderson, Sigvard (child)","Chehab, Emir Farres","Conolly, Kate","* Ball, Percy Plate washer","* Hagan, John Able bodied seaman",,,"Bennett, G. Fireman"
"*Behr, Mr. K. H.","Botsford, Mr. W. Hull ","Brocklebank, William","Anderson, Ellis","Chronopoulos, Apostolos","*Daly, Marcella",Banfi Waiter,"* Haines, Albert Boatswain's mate",,,"Benville, E. Fireman"
"*Bishop, Mr. D. H.","Bowenur, Mr. Solomon ","Cann, Erenst","Anderson, Ida Augusta","Cbronopoulos, Demetrios","*Daly, Eugene","Barker, A. Assistant baker","* Harder, William Window cleaner",,,"Bessant, W. Fireman"
"*Bishop, Mrs. D. H.","Bracken, Mr. Jas. H. ","Carver, A.","Anderson, Paul Edvin","Dibo, Elias","*Devaney, Margaret corrected spelling","Barker, E. Saloon steward","* Hemmings, Samuel Ernest Lamptrimmer",,,"Bevis, J. Trimmer"
"Bjornstrom, Mr. H.","Brito, Mr. Jose de","Celotti, Francesco","Angheloff, Minko","Drazenovie, Josip","Dewan, Frank","Barker, Reginald L. Second Purser","* Hitchens, Robert Quartermaster",,,"Biddlecombe, C. Fireman"
"Blackwell, Mr. Stephen Weart","*Brown, Miss Mildred","*Chip, Chang","Asplund, Carl (child)","Elias, Joseph","Dooley, Patrick","Barker, T. Assistant butcher","* Hogg, George Alfred Lookout",,,"Biggs, E. Fireman"
"*Blank, Mr. Henry","Brown, Mr. S.","Christmann, Emil","Asplund, Charles","*Elias, Joseph","Doyle, Elin","Barlow, G. Bedroom steward","Holman, H. Able bodied seaman",,,"Billows, J. Trimmer"
"*Bonnell, Miss Caroline","Brown, Mrs.","*Cohen, Gurshon","*Aspland, Felix (child)","*Fabini, Leeni","*Driscoll, Bridget","Barnes, W. Assistant baker","* Hopkins, Robert Able bodied seaman",,,"* Binstead, Walter Trimmer"
"*Bonnell, Miss Lily","*Brown, Miss E.","Cook, Jacob","Asplund, Gustaf (child)","*Fat-ma, Mustmani","Emmeth, Thomas","Barrett, A. Bell boy","* Horswill, Albert Edward James Able bodied seaman",,,"Black, A. Fireman"
"Borebank, Mr. J. J.","Bryhl, Mr. Curt","Corn, Harry","*Asplund, Johan","Gerios, Assaf","Farrell, James","Barringer, A. Saloon steward","* Humphreys, James Quartermaster",,,"Black, D. Fireman"
"*Bowen, Miss","*Bryhl, Miss Dagmar","*Coutts, Winnie","*Asplund, Lillian (child)","Gerios, Youssef","Foley, Joseph","Barrow, H. Assistant butcher","Hutchinson, John H. Joiner",,,"Blackman, H. Fireman"
"*Bowerman, Miss Elsie","*Buss, Miss Kate","*Coutts, William (child)","Asplund, Oscar (child)","Gerios, Youssef","Foley, William","Barrows, W. Saloon steward","* Jewell, Archie Lookout",,,"* Blake, P. Trimmer"
