Experiences {Survived(1)/died(0)},"Social Class(1st, 2nd and 3rd)",Name
0,3,Mr. Owen Harris Braund
1,1,Mrs. John Bradley (Florence Briggs Thayer) Cumings
1,3,Miss. Laina Heikkinen
1,1,Mrs. Jacques Heath (Lily May Peel) Futrelle
0,3,Mr. William Henry Allen
0,3,Mr. James Moran
0,1,Mr. Timothy J McCarthy
0,3,Master. Gosta Leonard Palsson
1,3,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson
1,2,Mrs. Nicholas (Adele Achem) Nasser
1,3,Miss. Marguerite Rut Sandstrom
1,1,Miss. Elizabeth Bonnell
0,3,Mr. William Henry Saundercock
0,3,Mr. Anders Johan Andersson
0,3,Miss. Hulda Amanda Adolfina Vestrom
1,2,Mrs. (Mary D Kingcome) Hewlett
0,3,Master. Eugene Rice
1,2,Mr. Charles Eugene Williams
0,3,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke
1,3,Mrs. Fatima Masselmani
0,2,Mr. Joseph J Fynney
1,2,Mr. Lawrence Beesley
1,3,Miss. Anna McGowan
1,1,Mr. William Thompson Sloper
0,3,Miss. Torborg Danira Palsson
1,3,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund
0,3,Mr. Farred Chehab Emir
0,1,Mr. Charles Alexander Fortune
1,3,Miss. Ellen O'Dwyer
0,3,Mr. Lalio Todoroff
0,1,Don. Manuel E Uruchurtu
1,1,Mrs. William Augustus (Marie Eugenie) Spencer
1,3,Miss. Mary Agatha Glynn
0,2,Mr. Edward H Wheadon
0,1,Mr. Edgar Joseph Meyer
0,1,Mr. Alexander Oskar Holverson
1,3,Mr. Hanna Mamee
0,3,Mr. Ernest Charles Cann
0,3,Miss. Augusta Maria Vander Planke
1,3,Miss. Jamila Nicola-Yarred
0,3,Mrs. Johan (Johanna Persdotter Larsson) Ahlin
0,2,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin
1,2,Miss. Simonne Marie Anne Andree Laroche
1,3,Miss. Margaret Delia Devaney
0,3,Mr. William John Rogers
0,3,Mr. Denis Lennon
1,3,Miss. Bridget O'Driscoll
0,3,Mr. Youssef Samaan
0,3,Mrs. Josef (Josefine Franchi) Arnold-Franchi
0,3,Master. Juha Niilo Panula
0,3,Mr. Richard Cater Nosworthy
1,1,Mrs. Henry Sleeper (Myna Haxtun) Harper
1,2,Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe
0,1,Mr. Engelhart Cornelius Ostby
1,1,Mr. Hugh Woolner
1,2,Miss. Emily Rugg
0,3,Mr. Mansouer Novel
1,2,Miss. Constance Mirium West
0,3,Master. William Frederick Goodwin
0,3,Mr. Orsen Sirayanian
1,1,Miss. Amelie Icard
0,1,Mr. Henry Birkhardt Harris
0,3,Master. Harald Skoog
0,1,Mr. Albert A Stewart
1,3,Master. Gerios Moubarek
1,2,Mrs. (Elizabeth Ramell) Nye
0,3,Mr. Ernest James Crease
1,3,Miss. Erna Alexandra Andersson
0,3,Mr. Vincenz Kink
0,2,Mr. Stephen Curnow Jenkin
0,3,Miss. Lillian Amy Goodwin
0,2,Mr. Ambrose Jr Hood
0,3,Mr. Apostolos Chronopoulos
1,3,Mr. Lee Bing
0,3,Mr. Sigurd Hansen Moen
0,3,Mr. Ivan Staneff
